TRACK_RCP,LOT,Total_Minutes,Wafer_Count
Spire/L-M484-TC-4200-10B,W5335590,2263.366666666667,25
Spire/L-M484-TC-4200-10B,W5362600,2200.4333333333334,25
Spire/L-M484-TC-4200-10B,W5369330,2193.75,25
Spire/L-M484-TC-4200-10B,W5370000,1101.9833333333333,25
Spire/L-P802-3850-05B,W5319960,807.7833333333333,25
Spire/L-UV26-11500-10A,W449T910,733.4,25
Spire/L-UV26-11500-10A,W449T920,1292.9166666666667,25
Spire/L-UV26-11500-10A,W449T930,1441.0666666666666,25
Spire/L-UV26-11500-10A,W449T950,1397.6833333333334,25
Spire/L-UV26-11500-10A,W449T960,652.1833333333333,25
Spire/L-UV26-11500-10A,W449T970,725.0,25
Spire/L-UV26-11500-10A,W505T650,646.4,25
Spire/L-UV26-11500-10A,W505T670,633.75,25
Spire/L-UV26-11500-10A,W518T9W0,1471.95,25
Spire/L-UV26-11500-10A,W518T9X0,650.45,25
Spire/L-UV26-11500-10A,W518T9Z0,691.7,25
Spire/L-UV26-11500-10A,W518TA00,1298.4166666666667,25
Spire/L-UV26-11500-10A,W518TA20,1375.2,25
Spire/L-UV26-11500-10A,W518TA30,648.75,25
Spire/L-UV26-11500-10A,W518TA50,727.4333333333333,25
Spire/L-UV26-11500-10A,W518TA60,1377.4333333333334,25
Spire/L-UV26-11500-10A,W5283680,662.4333333333333,25
Spire/L-UV26-11500-10A,W5295500,661.6833333333333,25
Spire/L-UV26-11500-10A,W5295510,661.8833333333333,25
Spire/L-UV26-11500-10A,W5295860,654.4499999999999,25
Spire/L-UV26-11500-10A,W5295870,737.8,25
Spire/L-UV26-11500-10A,W5295880,657.3666666666667,25
Spire/L-UV26-11500-10A,W5295890,654.6333333333333,25
Spire/L-UV26-11500-10A,W5335580,653.0666666666666,25
Spire/L-UV26-11500-10A,W5335590,699.1166666666667,25
